 GeoStep   ADMPstep   Time, fs    SCF Energy, au   E-Ebeg,kcal/mol  E-E1,kcal/mol  EkinC(~T)     EkinP(A+B)    Ekin        Epot=Escf   Etot=Ekin+Epot  Etot-EkinP=EkinC+Epot  T,K    Connectivity, Rmax=  3.50
      96     950      190.00      -1800.77252275        7.37        7.37           0.020448      0.000082      0.020530  -1800.772523  -1800.751993  -1800.752075            538.47       1     0.19000
      97     960      192.00      -1800.77237764        7.47        7.47           0.020291      0.000094      0.020385  -1800.772378  -1800.751993  -1800.752086            534.36       1     0.19200
      98     970      194.00      -1800.77215367        7.61        7.61           0.020069      0.000092      0.020161  -1800.772154  -1800.751992  -1800.752085            528.50       1     0.19400
      99     980      196.00      -1800.77186100        7.79        7.79           0.019785      0.000083      0.019868  -1800.771861  -1800.751993  -1800.752076            521.03       1     0.19600
     100     990      198.00      -1800.77150711        8.01        8.01           0.019430      0.000084      0.019514  -1800.771507  -1800.751993  -1800.752077            511.67       1     0.19800
     101    1000      200.00      -1800.77109656        8.27        8.27           0.019018      0.000086      0.019104  -1800.771097  -1800.751993  -1800.752078            500.83       1     0.20000
     102    1010      202.00      -1800.77064295        8.55        8.55           0.018568      0.000082      0.018650  -1800.770643  -1800.751993  -1800.752075            488.97       1     0.20200
     103    1020      204.00      -1800.77015495        8.86        8.86           0.018079      0.000084      0.018162  -1800.770155  -1800.751993  -1800.752076            476.09       1     0.20400
     104    1030      206.00      -1800.76965117        9.18        9.18           0.017573      0.000086      0.017658  -1800.769651  -1800.751993  -1800.752078            462.77       1     0.20600
     105    1040      208.00      -1800.76914037        9.50        9.50           0.017066      0.000082      0.017148  -1800.769140  -1800.751993  -1800.752075            449.41       1     0.20800
     106    1050      210.00      -1800.76863979        9.81        9.81           0.016571      0.000076      0.016647  -1800.768640  -1800.751993  -1800.752069            436.38       1     0.21000
     107    1060      212.00      -1800.76816584       10.11       10.11           0.016094      0.000080      0.016173  -1800.768166  -1800.751993  -1800.752072            423.81       1     0.21200
     108    1070      214.00      -1800.76772047       10.39       10.39           0.015657      0.000071      0.015728  -1800.767720  -1800.751993  -1800.752063            412.32       1     0.21400
     109    1080      216.00      -1800.76733194       10.63       10.63           0.015265      0.000074      0.015339  -1800.767332  -1800.751993  -1800.752067            402.00       1     0.21600
     110    1090      218.00      -1800.76699937       10.84       10.84           0.014932      0.000075      0.015007  -1800.766999  -1800.751993  -1800.752068            393.22       1     0.21800
     111    1100      220.00      -1800.76673731       11.00       11.00           0.014672      0.000073      0.014745  -1800.766737  -1800.751992  -1800.752065            386.38       1     0.22000
     112    1110      222.00      -1800.76654541       11.12       11.12           0.014481      0.000071      0.014553  -1800.766545  -1800.751993  -1800.752064            381.36       1     0.22200
     113    1120      224.00      -1800.76643285       11.20       11.20           0.014372      0.000069      0.014440  -1800.766433  -1800.751992  -1800.752061            378.47       1     0.22400
     114    1130      226.00      -1800.76639445       11.22       11.22           0.014338      0.000064      0.014402  -1800.766394  -1800.751993  -1800.752056            377.58       1     0.22600
     115    1140      228.00      -1800.76643621       11.19       11.19           0.014372      0.000072      0.014443  -1800.766436  -1800.751993  -1800.752065            378.47       1     0.22800
     116    1150      230.00      -1800.76654938       11.12       11.12           0.014483      0.000074      0.014557  -1800.766549  -1800.751992  -1800.752066            381.40       1     0.23000
     117    1160      232.00      -1800.76672474       11.01       11.01           0.014664      0.000068      0.014732  -1800.766725  -1800.751992  -1800.752060            386.18       1     0.23200
     118    1170      234.00      -1800.76696361       10.86       10.86           0.014902      0.000069      0.014971  -1800.766964  -1800.751992  -1800.752062            392.43       1     0.23400
     119    1180      236.00      -1800.76725064       10.68       10.68           0.015189      0.000069      0.015258  -1800.767251  -1800.751993  -1800.752062            399.99       1     0.23600
     120    1190      238.00      -1800.76757464       10.48       10.48           0.015509      0.000073      0.015582  -1800.767575  -1800.751993  -1800.752066            408.42       1     0.23800
     121    1200      240.00      -1800.76792574       10.26       10.26           0.015857      0.000076      0.015933  -1800.767926  -1800.751993  -1800.752068            417.59       1     0.24000
     122    1210      242.00      -1800.76828527       10.03       10.03           0.016215      0.000078      0.016293  -1800.768285  -1800.751993  -1800.752071            427.00       1     0.24200
     123    1220      244.00      -1800.76864456        9.81        9.81           0.016577      0.000075      0.016652  -1800.768645  -1800.751993  -1800.752067            436.55       1     0.24400
     124    1230      246.00      -1800.76898120        9.60        9.60           0.016914      0.000075      0.016989  -1800.768981  -1800.751993  -1800.752068            445.41       1     0.24600
     125    1240      248.00      -1800.76929437        9.40        9.40           0.017222      0.000080      0.017302  -1800.769294  -1800.751993  -1800.752072            453.53       1     0.24800
     126    1250      250.00      -1800.76955594        9.24        9.24           0.017477      0.000086      0.017563  -1800.769556  -1800.751993  -1800.752079            460.24       1     0.25000
     127    1260      252.00      -1800.76975759        9.11        9.11           0.017676      0.000088      0.017765  -1800.769758  -1800.751993  -1800.752081            465.49       1     0.25200
     128    1270      254.00      -1800.76988764        9.03        9.03           0.017811      0.000084      0.017895  -1800.769888  -1800.751993  -1800.752077            469.03       1     0.25400
     129    1280      256.00      -1800.76993868        9.00        9.00           0.017867      0.000079      0.017946  -1800.769939  -1800.751993  -1800.752072            470.51       1     0.25600
     130    1290      258.00      -1800.76989779        9.02        9.02           0.017822      0.000083      0.017905  -1800.769898  -1800.751993  -1800.752076            469.33       1     0.25800
     131    1300      260.00      -1800.76977564        9.10        9.10           0.017693      0.000090      0.017783  -1800.769776  -1800.751993  -1800.752083            465.93       1     0.26000
     132    1310      262.00      -1800.76955372        9.24        9.24           0.017470      0.000091      0.017561  -1800.769554  -1800.751993  -1800.752083            460.07       1     0.26200
     133    1320      264.00      -1800.76924369        9.43        9.43           0.017166      0.000085      0.017251  -1800.769244  -1800.751993  -1800.752078            452.06       1     0.26400
     134    1330      266.00      -1800.76885277        9.68        9.68           0.016777      0.000083      0.016860  -1800.768853  -1800.751993  -1800.752076            441.81       1     0.26600
     135    1340      268.00      -1800.76838622        9.97        9.97           0.016319      0.000075      0.016393  -1800.768386  -1800.751993  -1800.752067            429.75       1     0.26800
     136    1350      270.00      -1800.76786139       10.30       10.30           0.015780      0.000088      0.015869  -1800.767861  -1800.751993  -1800.752081            415.56       1     0.27000
     137    1360      272.00      -1800.76728048       10.66       10.66           0.015206      0.000082      0.015288  -1800.767280  -1800.751992  -1800.752075            400.43       1     0.27200
     138    1370      274.00      -1800.76667364       11.04       11.04           0.014604      0.000077      0.014681  -1800.766674  -1800.751992  -1800.752070            384.58       1     0.27400
     139    1380      276.00      -1800.76604737       11.44       11.44           0.013978      0.000077      0.014055  -1800.766047  -1800.751993  -1800.752069            368.10       1     0.27600
     140    1390      278.00      -1800.76542796       11.83       11.83           0.013360      0.000075      0.013435  -1800.765428  -1800.751993  -1800.752068            351.82       1     0.27800
     141    1400      280.00      -1800.76481980       12.21       12.21           0.012760      0.000068      0.012827  -1800.764820  -1800.751992  -1800.752060            336.01       1     0.28000
     142    1410      282.00      -1800.76424663       12.57       12.57           0.012185      0.000069      0.012254  -1800.764247  -1800.751992  -1800.752061            320.89       1     0.28200
     143    1420      284.00      -1800.76372224       12.90       12.90           0.011657      0.000073      0.011730  -1800.763722  -1800.751992  -1800.752066            306.97       1     0.28400
     144    1430      286.00      -1800.76325681       13.19       13.19           0.011190      0.000074      0.011264  -1800.763257  -1800.751993  -1800.752067            294.68       1     0.28600
     145    1440      288.00      -1800.76285601       13.44       13.44           0.010799      0.000064      0.010863  -1800.762856  -1800.751993  -1800.752057            284.39       1     0.28800
     146    1450      290.00      -1800.76253125       13.64       13.64           0.010475      0.000063      0.010539  -1800.762531  -1800.751993  -1800.752056            275.86       1     0.29000
     147    1460      292.00      -1800.76227761       13.80       13.80           0.010222      0.000062      0.010285  -1800.762278  -1800.751993  -1800.752055            269.20       1     0.29200
     148    1470      294.00      -1800.76209993       13.91       13.91           0.010040      0.000068      0.010107  -1800.762100  -1800.751992  -1800.752060            264.39       1     0.29400
     149    1480      296.00      -1800.76199646       13.98       13.98           0.009938      0.000066      0.010004  -1800.761996  -1800.751992  -1800.752058            261.72       1     0.29600
     150    1490      298.00      -1800.76195790       14.00       14.00           0.009897      0.000069      0.009965  -1800.761958  -1800.751993  -1800.752061            260.62       1     0.29800
     151    1500      300.00      -1800.76197744       13.99       13.99           0.009915      0.000070      0.009985  -1800.761977  -1800.751993  -1800.752062            261.11       1     0.30000
     152    1510      302.00      -1800.76204516       13.95       13.95           0.009988      0.000065      0.010052  -1800.762045  -1800.751993  -1800.752058            263.02       1     0.30200
     153    1520      304.00      -1800.76215406       13.88       13.88           0.010100      0.000061      0.010161  -1800.762154  -1800.751993  -1800.752054            265.97       1     0.30400
     154    1530      306.00      -1800.76228611       13.80       13.80           0.010224      0.000069      0.010294  -1800.762286  -1800.751992  -1800.752062            269.26       1     0.30600
     155    1540      308.00      -1800.76244026       13.70       13.70           0.010375      0.000073      0.010448  -1800.762440  -1800.751992  -1800.752066            273.21       1     0.30800
     156    1550      310.00      -1800.76260399       13.60       13.60           0.010541      0.000071      0.010611  -1800.762604  -1800.751993  -1800.752063            277.59       1     0.31000
     157    1560      312.00      -1800.76276295       13.50       13.50           0.010706      0.000064      0.010770  -1800.762763  -1800.751993  -1800.752057            281.94       1     0.31200
     158    1570      314.00      -1800.76292315       13.40       13.40           0.010859      0.000072      0.010930  -1800.762923  -1800.751993  -1800.752065            285.95       1     0.31400
     159    1580      316.00      -1800.76305824       13.31       13.31           0.011001      0.000064      0.011066  -1800.763058  -1800.751993  -1800.752057            289.71       1     0.31600
     160    1590      318.00      -1800.76318095       13.24       13.24           0.011118      0.000071      0.011188  -1800.763181  -1800.751993  -1800.752063            292.77       1     0.31800
     161    1600      320.00      -1800.76328557       13.17       13.17           0.011214      0.000079      0.011293  -1800.763286  -1800.751993  -1800.752072            295.30       1     0.32000
     162    1610      322.00      -1800.76336374       13.12       13.12           0.011305      0.000066      0.011371  -1800.763364  -1800.751993  -1800.752059            297.70       1     0.32200
     163    1620      324.00      -1800.76342916       13.08       13.08           0.011363      0.000073      0.011436  -1800.763429  -1800.751993  -1800.752066            299.25       1     0.32400
     164    1630      326.00      -1800.76346312       13.06       13.06           0.011400      0.000071      0.011471  -1800.763463  -1800.751992  -1800.752063            300.21       1     0.32600
     165    1640      328.00      -1800.76348949       13.04       13.04           0.011425      0.000072      0.011497  -1800.763490  -1800.751993  -1800.752064            300.87       1     0.32800
     166    1650      330.00      -1800.76350323       13.03       13.03           0.011439      0.000071      0.011511  -1800.763503  -1800.751993  -1800.752064            301.25       1     0.33000
     167    1660      332.00      -1800.76350784       13.03       13.03           0.011444      0.000071      0.011515  -1800.763508  -1800.751993  -1800.752064            301.38       1     0.33200
     168    1670      334.00      -1800.76351484       13.03       13.03           0.011448      0.000074      0.011522  -1800.763515  -1800.751993  -1800.752066            301.48       1     0.33400
     169    1680      336.00      -1800.76352058       13.02       13.02           0.011464      0.000064      0.011528  -1800.763521  -1800.751993  -1800.752057            301.89       1     0.33600
     170    1690      338.00      -1800.76354098       13.01       13.01           0.011477      0.000071      0.011548  -1800.763541  -1800.751993  -1800.752064            302.25       1     0.33800
     171    1700      340.00      -1800.76357213       12.99       12.99           0.011506      0.000074      0.011579  -1800.763572  -1800.751993  -1800.752066            303.00       1     0.34000
     172    1710      342.00      -1800.76362416       12.96       12.96           0.011566      0.000066      0.011631  -1800.763624  -1800.751993  -1800.752058            304.58       1     0.34200
     173    1720      344.00      -1800.76370695       12.91       12.91           0.011643      0.000071      0.011714  -1800.763707  -1800.751993  -1800.752064            306.61       1     0.34400
     174    1730      346.00      -1800.76381099       12.84       12.84           0.011747      0.000071      0.011818  -1800.763811  -1800.751993  -1800.752064            309.35       1     0.34600
     175    1740      348.00      -1800.76395189       12.75       12.75           0.011888      0.000071      0.011959  -1800.763952  -1800.751993  -1800.752064            313.07       1     0.34800
