 GeoStep   ADMPstep   Time, fs    SCF Energy, au   E-Ebeg,kcal/mol  E-E1,kcal/mol  EkinC(~T)     EkinP(A+B)    Ekin        Epot=Escf   Etot=Ekin+Epot  Etot-EkinP=EkinC+Epot  T,K    Connectivity, Rmax=  3.50
    5884   58830    11766.00      -1800.77095103        8.36        8.36           0.018862      0.000097      0.018958  -1800.770951  -1800.751993  -1800.752089            496.71       1    11.76600
    5885   58840    11768.00      -1800.77109376        8.27        8.27           0.019008      0.000093      0.019101  -1800.771094  -1800.751993  -1800.752086            500.57       1    11.76800
    5886   58850    11770.00      -1800.77118021        8.22        8.22           0.019091      0.000097      0.019187  -1800.771180  -1800.751993  -1800.752089            502.74       1    11.77000
    5887   58860    11772.00      -1800.77119785        8.21        8.21           0.019113      0.000092      0.019205  -1800.771198  -1800.751993  -1800.752085            503.33       1    11.77200
    5888   58870    11774.00      -1800.77115033        8.24        8.24           0.019062      0.000096      0.019157  -1800.771150  -1800.751993  -1800.752089            501.98       1    11.77400
    5889   58880    11776.00      -1800.77102649        8.31        8.31           0.018939      0.000095      0.019033  -1800.771027  -1800.751993  -1800.752088            498.74       1    11.77600
    5890   58890    11778.00      -1800.77083406        8.43        8.43           0.018741      0.000100      0.018841  -1800.770834  -1800.751993  -1800.752093            493.53       1    11.77800
    5891   58900    11780.00      -1800.77056204        8.60        8.60           0.018475      0.000094      0.018569  -1800.770562  -1800.751993  -1800.752086            486.54       1    11.78000
    5892   58910    11782.00      -1800.77022426        8.82        8.82           0.018135      0.000097      0.018232  -1800.770224  -1800.751993  -1800.752090            477.56       1    11.78200
    5893   58920    11784.00      -1800.76981615        9.07        9.07           0.017734      0.000090      0.017823  -1800.769816  -1800.751993  -1800.752082            467.01       1    11.78400
    5894   58930    11786.00      -1800.76935090        9.36        9.36           0.017262      0.000096      0.017358  -1800.769351  -1800.751993  -1800.752089            454.59       1    11.78600
    5895   58940    11788.00      -1800.76882791        9.69        9.69           0.016741      0.000094      0.016835  -1800.768828  -1800.751993  -1800.752086            440.87       1    11.78800
    5896   58950    11790.00      -1800.76826466       10.05       10.05           0.016181      0.000091      0.016272  -1800.768265  -1800.751993  -1800.752084            426.10       1    11.79000
    5897   58960    11792.00      -1800.76766365       10.42       10.42           0.015585      0.000086      0.015671  -1800.767664  -1800.751993  -1800.752079            410.42       1    11.79200
    5898   58970    11794.00      -1800.76704564       10.81       10.81           0.014963      0.000090      0.015053  -1800.767046  -1800.751993  -1800.752083            394.03       1    11.79400
    5899   58980    11796.00      -1800.76641408       11.21       11.21           0.014336      0.000085      0.014421  -1800.766414  -1800.751993  -1800.752078            377.54       1    11.79600
    5900   58990    11798.00      -1800.76580373       11.59       11.59           0.013724      0.000087      0.013811  -1800.765804  -1800.751993  -1800.752079            361.42       1    11.79800
    5901   59000    11800.00      -1800.76520694       11.96       11.96           0.013137      0.000077      0.013214  -1800.765207  -1800.751993  -1800.752070            345.97       1    11.80000
    5902   59010    11802.00      -1800.76465288       12.31       12.31           0.012575      0.000085      0.012660  -1800.764653  -1800.751993  -1800.752078            331.16       1    11.80200
    5903   59020    11804.00      -1800.76414464       12.63       12.63           0.012072      0.000080      0.012152  -1800.764145  -1800.751993  -1800.752073            317.91       1    11.80400
    5904   59030    11806.00      -1800.76370548       12.91       12.91           0.011634      0.000078      0.011713  -1800.763706  -1800.751993  -1800.752071            306.38       1    11.80600
    5905   59040    11808.00      -1800.76333866       13.14       13.14           0.011267      0.000079      0.011346  -1800.763339  -1800.751993  -1800.752072            296.70       1    11.80800
    5906   59050    11810.00      -1800.76305189       13.32       13.32           0.010979      0.000080      0.011059  -1800.763052  -1800.751993  -1800.752073            289.11       1    11.81000
    5907   59060    11812.00      -1800.76284637       13.45       13.45           0.010775      0.000078      0.010854  -1800.762846  -1800.751993  -1800.752071            283.76       1    11.81200
    5908   59070    11814.00      -1800.76273289       13.52       13.52           0.010663      0.000077      0.010740  -1800.762733  -1800.751993  -1800.752070            280.80       1    11.81400
    5909   59080    11816.00      -1800.76270266       13.54       13.54           0.010634      0.000076      0.010710  -1800.762703  -1800.751992  -1800.752069            280.04       1    11.81600
    5910   59090    11818.00      -1800.76275124       13.51       13.51           0.010679      0.000079      0.010759  -1800.762751  -1800.751993  -1800.752072            281.24       1    11.81800
    5911   59100    11820.00      -1800.76287428       13.43       13.43           0.010800      0.000082      0.010882  -1800.762874  -1800.751993  -1800.752075            284.40       1    11.82000
    5912   59110    11822.00      -1800.76306563       13.31       13.31           0.010987      0.000085      0.011073  -1800.763066  -1800.751993  -1800.752078            289.35       1    11.82200
    5913   59120    11824.00      -1800.76330419       13.16       13.16           0.011229      0.000082      0.011311  -1800.763304  -1800.751993  -1800.752075            295.71       1    11.82400
    5914   59130    11826.00      -1800.76358423       12.98       12.98           0.011505      0.000087      0.011591  -1800.763584  -1800.751993  -1800.752080            302.97       1    11.82600
    5915   59140    11828.00      -1800.76389411       12.79       12.79           0.011812      0.000089      0.011901  -1800.763894  -1800.751993  -1800.752082            311.06       1    11.82800
    5916   59150    11830.00      -1800.76421616       12.59       12.59           0.012136      0.000088      0.012223  -1800.764216  -1800.751993  -1800.752080            319.59       1    11.83000
    5917   59160    11832.00      -1800.76454841       12.38       12.38           0.012464      0.000092      0.012556  -1800.764548  -1800.751993  -1800.752085            328.22       1    11.83200
    5918   59170    11834.00      -1800.76486521       12.18       12.18           0.012779      0.000093      0.012872  -1800.764865  -1800.751993  -1800.752086            336.53       1    11.83400
    5919   59180    11836.00      -1800.76517351       11.99       11.99           0.013086      0.000094      0.013181  -1800.765173  -1800.751993  -1800.752087            344.61       1    11.83600
    5920   59190    11838.00      -1800.76544822       11.81       11.81           0.013359      0.000096      0.013455  -1800.765448  -1800.751993  -1800.752089            351.80       1    11.83800
    5921   59200    11840.00      -1800.76569204       11.66       11.66           0.013602      0.000097      0.013699  -1800.765692  -1800.751993  -1800.752090            358.21       1    11.84000
    5922   59210    11842.00      -1800.76590153       11.53       11.53           0.013810      0.000099      0.013909  -1800.765901  -1800.751993  -1800.752092            363.66       1    11.84200
    5923   59220    11844.00      -1800.76606911       11.42       11.42           0.013979      0.000097      0.014076  -1800.766069  -1800.751993  -1800.752090            368.14       1    11.84400
    5924   59230    11846.00      -1800.76619805       11.34       11.34           0.014108      0.000097      0.014205  -1800.766198  -1800.751993  -1800.752090            371.53       1    11.84600
    5925   59240    11848.00      -1800.76628644       11.29       11.29           0.014189      0.000104      0.014293  -1800.766286  -1800.751993  -1800.752097            373.66       1    11.84800
    5926   59250    11850.00      -1800.76633005       11.26       11.26           0.014236      0.000102      0.014337  -1800.766330  -1800.751993  -1800.752094            374.89       1    11.85000
    5927   59260    11852.00      -1800.76633520       11.26       11.26           0.014241      0.000101      0.014342  -1800.766335  -1800.751993  -1800.752094            375.04       1    11.85200
    5928   59270    11854.00      -1800.76631275       11.27       11.27           0.014217      0.000103      0.014320  -1800.766313  -1800.751993  -1800.752096            374.39       1    11.85400
    5929   59280    11856.00      -1800.76625173       11.31       11.31           0.014159      0.000100      0.014259  -1800.766252  -1800.751993  -1800.752093            372.86       1    11.85600
    5930   59290    11858.00      -1800.76616562       11.36       11.36           0.014071      0.000102      0.014173  -1800.766166  -1800.751993  -1800.752095            370.55       1    11.85800
    5931   59300    11860.00      -1800.76605815       11.43       11.43           0.013962      0.000103      0.014065  -1800.766058  -1800.751993  -1800.752096            367.68       1    11.86000
    5932   59310    11862.00      -1800.76592935       11.51       11.51           0.013831      0.000105      0.013936  -1800.765929  -1800.751993  -1800.752098            364.24       1    11.86200
    5933   59320    11864.00      -1800.76578955       11.60       11.60           0.013697      0.000100      0.013797  -1800.765789  -1800.751993  -1800.752093            360.69       1    11.86400
    5934   59330    11866.00      -1800.76563749       11.69       11.69           0.013541      0.000104      0.013645  -1800.765637  -1800.751993  -1800.752096            356.60       1    11.86600
    5935   59340    11868.00      -1800.76548117       11.79       11.79           0.013391      0.000098      0.013488  -1800.765481  -1800.751993  -1800.752090            352.64       1    11.86800
    5936   59350    11870.00      -1800.76532337       11.89       11.89           0.013239      0.000092      0.013331  -1800.765323  -1800.751993  -1800.752084            348.64       1    11.87000
    5937   59360    11872.00      -1800.76517367       11.99       11.99           0.013073      0.000108      0.013181  -1800.765174  -1800.751993  -1800.752100            344.28       1    11.87200
    5938   59370    11874.00      -1800.76502409       12.08       12.08           0.012932      0.000099      0.013031  -1800.765024  -1800.751993  -1800.752092            340.56       1    11.87400
    5939   59380    11876.00      -1800.76489223       12.16       12.16           0.012802      0.000098      0.012900  -1800.764892  -1800.751993  -1800.752091            337.12       1    11.87600
    5940   59390    11878.00      -1800.76477544       12.24       12.24           0.012687      0.000096      0.012783  -1800.764775  -1800.751993  -1800.752089            334.10       1    11.87800
    5941   59400    11880.00      -1800.76467771       12.30       12.30           0.012589      0.000096      0.012685  -1800.764678  -1800.751993  -1800.752089            331.52       1    11.88000
    5942   59410    11882.00      -1800.76460446       12.34       12.34           0.012512      0.000100      0.012612  -1800.764604  -1800.751993  -1800.752093            329.49       1    11.88200
    5943   59420    11884.00      -1800.76456153       12.37       12.37           0.012475      0.000093      0.012569  -1800.764561  -1800.751993  -1800.752086            328.53       1    11.88400
    5944   59430    11886.00      -1800.76454955       12.38       12.38           0.012465      0.000092      0.012557  -1800.764550  -1800.751993  -1800.752084            328.26       1    11.88600
    5945   59440    11888.00      -1800.76457304       12.36       12.36           0.012481      0.000099      0.012580  -1800.764573  -1800.751993  -1800.752092            328.67       1    11.88800
    5946   59450    11890.00      -1800.76463887       12.32       12.32           0.012552      0.000094      0.012646  -1800.764639  -1800.751993  -1800.752086            330.56       1    11.89000
    5947   59460    11892.00      -1800.76474105       12.26       12.26           0.012657      0.000091      0.012748  -1800.764741  -1800.751993  -1800.752084            333.32       1    11.89200
    5948   59470    11894.00      -1800.76489360       12.16       12.16           0.012809      0.000092      0.012901  -1800.764894  -1800.751993  -1800.752085            337.32       1    11.89400
    5949   59480    11896.00      -1800.76508644       12.04       12.04           0.012998      0.000096      0.013094  -1800.765086  -1800.751992  -1800.752088            342.30       1    11.89600
    5950   59490    11898.00      -1800.76533594       11.88       11.88           0.013249      0.000094      0.013343  -1800.765336  -1800.751993  -1800.752087            348.91       1    11.89800
    5951   59500    11900.00      -1800.76562357       11.70       11.70           0.013531      0.000099      0.013631  -1800.765624  -1800.751993  -1800.752092            356.34       1    11.90000
    5952   59510    11902.00      -1800.76595911       11.49       11.49           0.013869      0.000097      0.013966  -1800.765959  -1800.751993  -1800.752090            365.24       1    11.90200
    5953   59520    11904.00      -1800.76633652       11.26       11.26           0.014248      0.000096      0.014344  -1800.766337  -1800.751993  -1800.752089            375.21       1    11.90400
    5954   59530    11906.00      -1800.76675933       10.99       10.99           0.014673      0.000094      0.014767  -1800.766759  -1800.751993  -1800.752086            386.40       1    11.90600
    5955   59540    11908.00      -1800.76721921       10.70       10.70           0.015124      0.000102      0.015226  -1800.767219  -1800.751993  -1800.752095            398.28       1    11.90800
    5956   59550    11910.00      -1800.76770884       10.39       10.39           0.015609      0.000107      0.015716  -1800.767709  -1800.751993  -1800.752100            411.06       1    11.91000
    5957   59560    11912.00      -1800.76822480       10.07       10.07           0.016136      0.000096      0.016232  -1800.768225  -1800.751993  -1800.752088            424.94       1    11.91200
    5958   59570    11914.00      -1800.76876873        9.73        9.73           0.016678      0.000099      0.016776  -1800.768769  -1800.751993  -1800.752091            439.19       1    11.91400
    5959   59580    11916.00      -1800.76932198        9.38        9.38           0.017220      0.000110      0.017329  -1800.769322  -1800.751993  -1800.752102            453.47       1    11.91600
    5960   59590    11918.00      -1800.76988011        9.03        9.03           0.017775      0.000112      0.017887  -1800.769880  -1800.751993  -1800.752105            468.10       1    11.91800
    5961   59600    11920.00      -1800.77044051        8.68        8.68           0.018345      0.000102      0.018448  -1800.770440  -1800.751993  -1800.752095            483.11       1    11.92000
    5962   59610    11922.00      -1800.77098242        8.34        8.34           0.018888      0.000102      0.018990  -1800.770982  -1800.751993  -1800.752095            497.40       1    11.92200
    5963   59620    11924.00      -1800.77151910        8.00        8.00           0.019405      0.000122      0.019526  -1800.771519  -1800.751993  -1800.752115            511.01       1    11.92400
    5964   59630    11926.00      -1800.77201958        7.69        7.69           0.019907      0.000119      0.020027  -1800.772020  -1800.751993  -1800.752112            524.25       1    11.92600
    5965   59640    11928.00      -1800.77247955        7.40        7.40           0.020376      0.000111      0.020487  -1800.772480  -1800.751993  -1800.752104            536.58       1    11.92800
    5966   59650    11930.00      -1800.77289313        7.14        7.14           0.020781      0.000119      0.020900  -1800.772893  -1800.751993  -1800.752112            547.26       1    11.93000
    5967   59660    11932.00      -1800.77325562        6.91        6.91           0.021139      0.000123      0.021263  -1800.773256  -1800.751993  -1800.752116            556.70       1    11.93200
    5968   59670    11934.00      -1800.77355244        6.73        6.73           0.021443      0.000117      0.021560  -1800.773552  -1800.751993  -1800.752109            564.69       1    11.93400
    5969   59680    11936.00      -1800.77378175        6.58        6.58           0.021662      0.000127      0.021789  -1800.773782  -1800.751993  -1800.752120            570.46       1    11.93600
    5970   59690    11938.00      -1800.77392759        6.49        6.49           0.021811      0.000123      0.021934  -1800.773928  -1800.751993  -1800.752116            574.39       1    11.93800
    5971   59700    11940.00      -1800.77399180        6.45        6.45           0.021876      0.000123      0.021999  -1800.773992  -1800.751993  -1800.752115            576.10       1    11.94000
    5972   59710    11942.00      -1800.77397198        6.46        6.46           0.021856      0.000123      0.021979  -1800.773972  -1800.751993  -1800.752116            575.57       1    11.94200
    5973   59720    11944.00      -1800.77386091        6.53        6.53           0.021741      0.000127      0.021868  -1800.773861  -1800.751993  -1800.752119            572.55       1    11.94400
    5974   59730    11946.00      -1800.77366006        6.66        6.66           0.021532      0.000135      0.021667  -1800.773660  -1800.751993  -1800.752128            567.04       1    11.94600
    5975   59740    11948.00      -1800.77337166        6.84        6.84           0.021254      0.000125      0.021379  -1800.773372  -1800.751993  -1800.752118            559.70       1    11.94800
    5976   59750    11950.00      -1800.77299671        7.08        7.08           0.020884      0.000120      0.021004  -1800.772997  -1800.751993  -1800.752113            549.97       1    11.95000
    5977   59760    11952.00      -1800.77254563        7.36        7.36           0.020422      0.000131      0.020553  -1800.772546  -1800.751993  -1800.752123            537.81       1    11.95200
    5978   59770    11954.00      -1800.77202401        7.69        7.69           0.019905      0.000126      0.020031  -1800.772024  -1800.751993  -1800.752119            524.19       1    11.95400
    5979   59780    11956.00      -1800.77144538        8.05        8.05           0.019336      0.000117      0.019453  -1800.771445  -1800.751993  -1800.752110            509.19       1    11.95600
    5980   59790    11958.00      -1800.77082471        8.44        8.44           0.018708      0.000124      0.018832  -1800.770825  -1800.751993  -1800.752117            492.67       1    11.95800
    5981   59800    11960.00      -1800.77017375        8.85        8.85           0.018064      0.000117      0.018181  -1800.770174  -1800.751993  -1800.752110            475.70       1    11.96000
    5982   59810    11962.00      -1800.76950956        9.26        9.26           0.017394      0.000122      0.017517  -1800.769510  -1800.751993  -1800.752115            458.07       1    11.96200
    5983   59820    11964.00      -1800.76885127        9.68        9.68           0.016740      0.000118      0.016858  -1800.768851  -1800.751993  -1800.752111            440.85       1    11.96400
    5984   59830    11966.00      -1800.76821024       10.08       10.08           0.016098      0.000119      0.016217  -1800.768210  -1800.751993  -1800.752112            423.94       1    11.96600
    5985   59840    11968.00      -1800.76761577       10.45       10.45           0.015506      0.000117      0.015623  -1800.767616  -1800.751993  -1800.752110            408.33       1    11.96800
    5986   59850    11970.00      -1800.76707242       10.79       10.79           0.014971      0.000109      0.015080  -1800.767072  -1800.751993  -1800.752102            394.24       1    11.97000
    5987   59860    11972.00      -1800.76659785       11.09       11.09           0.014486      0.000119      0.014605  -1800.766598  -1800.751993  -1800.752112            381.48       1    11.97200
    5988   59870    11974.00      -1800.76620091       11.34       11.34           0.014096      0.000112      0.014208  -1800.766201  -1800.751993  -1800.752105            371.21       1    11.97400
    5989   59880    11976.00      -1800.76588740       11.54       11.54           0.013785      0.000110      0.013895  -1800.765887  -1800.751993  -1800.752102            363.02       1    11.97600
    5990   59890    11978.00      -1800.76566681       11.68       11.68           0.013559      0.000115      0.013674  -1800.765667  -1800.751993  -1800.752108            357.07       1    11.97800
    5991   59900    11980.00      -1800.76553338       11.76       11.76           0.013426      0.000115      0.013541  -1800.765533  -1800.751993  -1800.752107            353.57       1    11.98000
    5992   59910    11982.00      -1800.76548203       11.79       11.79           0.013376      0.000113      0.013489  -1800.765482  -1800.751993  -1800.752106            352.26       1    11.98200
    5993   59920    11984.00      -1800.76551481       11.77       11.77           0.013411      0.000111      0.013522  -1800.765515  -1800.751993  -1800.752104            353.16       1    11.98400
    5994   59930    11986.00      -1800.76560905       11.71       11.71           0.013499      0.000117      0.013616  -1800.765609  -1800.751993  -1800.752110            355.49       1    11.98600
    5995   59940    11988.00      -1800.76576418       11.62       11.62           0.013658      0.000114      0.013771  -1800.765764  -1800.751993  -1800.752107            359.66       1    11.98800
    5996   59950    11990.00      -1800.76596035       11.49       11.49           0.013853      0.000115      0.013968  -1800.765960  -1800.751993  -1800.752108            364.80       1    11.99000
    5997   59960    11992.00      -1800.76618452       11.35       11.35           0.014075      0.000117      0.014192  -1800.766185  -1800.751993  -1800.752110            370.65       1    11.99200
    5998   59970    11994.00      -1800.76642257       11.20       11.20           0.014317      0.000113      0.014430  -1800.766423  -1800.751993  -1800.752106            377.03       1    11.99400
    5999   59980    11996.00      -1800.76666006       11.05       11.05           0.014553      0.000114      0.014667  -1800.766660  -1800.751993  -1800.752107            383.24       1    11.99600
    6000   59990    11998.00      -1800.76689255       10.91       10.91           0.014791      0.000109      0.014900  -1800.766893  -1800.751993  -1800.752102            389.51       1    11.99800
    6001   60000    12000.00      -1800.76709849       10.78       10.78           0.014990      0.000116      0.015106  -1800.767098  -1800.751993  -1800.752109            394.74       1    12.00000
    6002   60010    12002.00      -1800.76728496       10.66       10.66           0.015179      0.000113      0.015292  -1800.767285  -1800.751993  -1800.752106            399.72       1    12.00200
    6003   60020    12004.00      -1800.76743345       10.57       10.57           0.015333      0.000108      0.015441  -1800.767433  -1800.751993  -1800.752101            403.77       1    12.00400
    6004   60030    12006.00      -1800.76754592       10.50       10.50           0.015447      0.000106      0.015553  -1800.767546  -1800.751993  -1800.752098            406.80       1    12.00600
    6005   60040    12008.00      -1800.76762569       10.45       10.45           0.015527      0.000106      0.015633  -1800.767626  -1800.751993  -1800.752099            408.89       1    12.00800
    6006   60050    12010.00      -1800.76766775       10.42       10.42           0.015570      0.000105      0.015675  -1800.767668  -1800.751993  -1800.752098            410.03       1    12.01000
    6007   60060    12012.00      -1800.76767602       10.42       10.42           0.015586      0.000097      0.015683  -1800.767676  -1800.751993  -1800.752090            410.44       1    12.01200
    6008   60070    12014.00      -1800.76766318       10.42       10.42           0.015572      0.000098      0.015670  -1800.767663  -1800.751993  -1800.752091            410.09       1    12.01400
    6009   60080    12016.00      -1800.76762984       10.44       10.44           0.015541      0.000096      0.015637  -1800.767630  -1800.751993  -1800.752089            409.25       1    12.01600
    6010   60090    12018.00      -1800.76757828       10.48       10.48           0.015490      0.000095      0.015585  -1800.767578  -1800.751993  -1800.752088            407.93       1    12.01800
    6011   60100    12020.00      -1800.76752242       10.51       10.51           0.015440      0.000090      0.015530  -1800.767522  -1800.751993  -1800.752082            406.61       1    12.02000
    6012   60110    12022.00      -1800.76746289       10.55       10.55           0.015379      0.000092      0.015470  -1800.767463  -1800.751993  -1800.752084            404.99       1    12.02200
    6013   60120    12024.00      -1800.76740738       10.58       10.58           0.015330      0.000085      0.015415  -1800.767407  -1800.751993  -1800.752078            403.70       1    12.02400
    6014   60130    12026.00      -1800.76735991       10.61       10.61           0.015278      0.000089      0.015367  -1800.767360  -1800.751993  -1800.752082            402.34       1    12.02600
    6015   60140    12028.00      -1800.76732523       10.64       10.64           0.015250      0.000082      0.015332  -1800.767325  -1800.751993  -1800.752075            401.60       1    12.02800
    6016   60150    12030.00      -1800.76730367       10.65       10.65           0.015231      0.000080      0.015311  -1800.767304  -1800.751993  -1800.752073            401.09       1    12.03000
    6017   60160    12032.00      -1800.76729237       10.66       10.66           0.015220      0.000080      0.015300  -1800.767292  -1800.751993  -1800.752072            400.81       1    12.03200
    6018   60170    12034.00      -1800.76730098       10.65       10.65           0.015227      0.000081      0.015308  -1800.767301  -1800.751993  -1800.752074            401.00       1    12.03400
    6019   60180    12036.00      -1800.76732004       10.64       10.64           0.015249      0.000079      0.015327  -1800.767320  -1800.751993  -1800.752071            401.56       1    12.03600
    6020   60190    12038.00      -1800.76734851       10.62       10.62           0.015279      0.000077      0.015356  -1800.767349  -1800.751993  -1800.752070            402.35       1    12.03800
    6021   60200    12040.00      -1800.76738634       10.60       10.60           0.015313      0.000080      0.015394  -1800.767386  -1800.751993  -1800.752073            403.26       1    12.04000
    6022   60210    12042.00      -1800.76742189       10.57       10.57           0.015351      0.000078      0.015429  -1800.767422  -1800.751993  -1800.752071            404.25       1    12.04200
    6023   60220    12044.00      -1800.76745796       10.55       10.55           0.015390      0.000075      0.015465  -1800.767458  -1800.751993  -1800.752068            405.29       1    12.04400
    6024   60230    12046.00      -1800.76749258       10.53       10.53           0.015421      0.000078      0.015500  -1800.767493  -1800.751993  -1800.752071            406.11       1    12.04600
    6025   60240    12048.00      -1800.76751742       10.51       10.51           0.015443      0.000082      0.015525  -1800.767517  -1800.751993  -1800.752075            406.67       1    12.04800
    6026   60250    12050.00      -1800.76752527       10.51       10.51           0.015458      0.000075      0.015532  -1800.767525  -1800.751993  -1800.752068            407.07       1    12.05000
    6027   60260    12052.00      -1800.76752274       10.51       10.51           0.015452      0.000077      0.015530  -1800.767523  -1800.751993  -1800.752070            406.93       1    12.05200
    6028   60270    12054.00      -1800.76749966       10.53       10.53           0.015427      0.000079      0.015507  -1800.767500  -1800.751993  -1800.752072            406.27       1    12.05400
    6029   60280    12056.00      -1800.76745346       10.56       10.56           0.015388      0.000073      0.015461  -1800.767454  -1800.751993  -1800.752066            405.23       1    12.05600
    6030   60290    12058.00      -1800.76738691       10.60       10.60           0.015317      0.000078      0.015394  -1800.767387  -1800.751993  -1800.752070            403.35       1    12.05800
    6031   60300    12060.00      -1800.76729795       10.65       10.65           0.015227      0.000078      0.015305  -1800.767298  -1800.751993  -1800.752071            401.00       1    12.06000
    6032   60310    12062.00      -1800.76718503       10.72       10.72           0.015116      0.000076      0.015192  -1800.767185  -1800.751993  -1800.752069            398.07       1    12.06200
    6033   60320    12064.00      -1800.76704751       10.81       10.81           0.014979      0.000075      0.015055  -1800.767047  -1800.751993  -1800.752068            394.47       1    12.06400
    6034   60330    12066.00      -1800.76688847       10.91       10.91           0.014822      0.000073      0.014896  -1800.766889  -1800.751993  -1800.752066            390.34       1    12.06600
    6035   60340    12068.00      -1800.76671106       11.02       11.02           0.014642      0.000077      0.014718  -1800.766711  -1800.751993  -1800.752070            385.57       1    12.06800
    6036   60350    12070.00      -1800.76651045       11.15       11.15           0.014443      0.000075      0.014518  -1800.766511  -1800.751993  -1800.752067            380.35       1    12.07000
    6037   60360    12072.00      -1800.76629664       11.28       11.28           0.014230      0.000073      0.014304  -1800.766297  -1800.751993  -1800.752066            374.75       1    12.07200
    6038   60370    12074.00      -1800.76606437       11.43       11.43           0.013996      0.000075      0.014072  -1800.766064  -1800.751993  -1800.752068            368.58       1    12.07400
    6039   60380    12076.00      -1800.76581911       11.58       11.58           0.013756      0.000070      0.013826  -1800.765819  -1800.751993  -1800.752063            362.26       1    12.07600
    6040   60390    12078.00      -1800.76556701       11.74       11.74           0.013501      0.000074      0.013574  -1800.765567  -1800.751993  -1800.752066            355.53       1    12.07800
    6041   60400    12080.00      -1800.76530785       11.90       11.90           0.013244      0.000071      0.013315  -1800.765308  -1800.751993  -1800.752064            348.77       1    12.08000
    6042   60410    12082.00      -1800.76504300       12.07       12.07           0.012978      0.000072      0.013050  -1800.765043  -1800.751993  -1800.752065            341.78       1    12.08200
    6043   60420    12084.00      -1800.76477744       12.23       12.23           0.012714      0.000071      0.012785  -1800.764777  -1800.751993  -1800.752064            334.81       1    12.08400
    6044   60430    12086.00      -1800.76451507       12.40       12.40           0.012449      0.000073      0.012522  -1800.764515  -1800.751993  -1800.752066            327.84       1    12.08600
    6045   60440    12088.00      -1800.76424867       12.57       12.57           0.012190      0.000066      0.012256  -1800.764249  -1800.751993  -1800.752059            321.01       1    12.08800
    6046   60450    12090.00      -1800.76400267       12.72       12.72           0.011939      0.000071      0.012010  -1800.764003  -1800.751993  -1800.752064            314.41       1    12.09000
    6047   60460    12092.00      -1800.76375386       12.88       12.88           0.011694      0.000067      0.011761  -1800.763754  -1800.751993  -1800.752060            307.95       1    12.09200
    6048   60470    12094.00      -1800.76352224       13.02       13.02           0.011458      0.000072      0.011530  -1800.763522  -1800.751993  -1800.752064            301.73       1    12.09400
    6049   60480    12096.00      -1800.76330336       13.16       13.16           0.011240      0.000071      0.011310  -1800.763303  -1800.751993  -1800.752063            296.00       1    12.09600
    6050   60490    12098.00      -1800.76310059       13.29       13.29           0.011043      0.000065      0.011108  -1800.763101  -1800.751993  -1800.752058            290.80       1    12.09800
    6051   60500    12100.00      -1800.76291143       13.41       13.41           0.010849      0.000070      0.010919  -1800.762911  -1800.751993  -1800.752062            285.70       1    12.10000
    6052   60510    12102.00      -1800.76274371       13.51       13.51           0.010679      0.000072      0.010751  -1800.762744  -1800.751993  -1800.752065            281.22       1    12.10200
    6053   60520    12104.00      -1800.76259308       13.60       13.60           0.010534      0.000067      0.010600  -1800.762593  -1800.751993  -1800.752059            277.40       1    12.10400
    6054   60530    12106.00      -1800.76246432       13.69       13.69           0.010403      0.000069      0.010472  -1800.762464  -1800.751993  -1800.752062            273.95       1    12.10600
    6055   60540    12108.00      -1800.76235485       13.75       13.75           0.010292      0.000070      0.010362  -1800.762355  -1800.751993  -1800.752063            271.04       1    12.10800
    6056   60550    12110.00      -1800.76226805       13.81       13.81           0.010205      0.000070      0.010275  -1800.762268  -1800.751993  -1800.752063            268.74       1    12.11000
    6057   60560    12112.00      -1800.76220019       13.85       13.85           0.010141      0.000066      0.010207  -1800.762200  -1800.751993  -1800.752059            267.06       1    12.11200
    6058   60570    12114.00      -1800.76215459       13.88       13.88           0.010092      0.000070      0.010162  -1800.762155  -1800.751993  -1800.752062            265.77       1    12.11400
    6059   60580    12116.00      -1800.76213287       13.89       13.89           0.010065      0.000075      0.010140  -1800.762133  -1800.751993  -1800.752068            265.06       1    12.11600
    6060   60590    12118.00      -1800.76212070       13.90       13.90           0.010054      0.000073      0.010128  -1800.762121  -1800.751993  -1800.752066            264.78       1    12.11800
    6061   60600    12120.00      -1800.76213247       13.89       13.89           0.010071      0.000068      0.010140  -1800.762133  -1800.751993  -1800.752061            265.22       1    12.12000
    6062   60610    12122.00      -1800.76215548       13.88       13.88           0.010095      0.000068      0.010163  -1800.762156  -1800.751993  -1800.752060            265.85       1    12.12200
    6063   60620    12124.00      -1800.76219541       13.85       13.85           0.010127      0.000075      0.010203  -1800.762195  -1800.751993  -1800.752068            266.70       1    12.12400
    6064   60630    12126.00      -1800.76224522       13.82       13.82           0.010180      0.000072      0.010252  -1800.762245  -1800.751993  -1800.752065            268.08       1    12.12600
    6065   60640    12128.00      -1800.76229998       13.79       13.79           0.010235      0.000072      0.010307  -1800.762300  -1800.751993  -1800.752065            269.54       1    12.12800
    6066   60650    12130.00      -1800.76236229       13.75       13.75           0.010295      0.000074      0.010369  -1800.762362  -1800.751993  -1800.752067            271.12       1    12.13000
    6067   60660    12132.00      -1800.76242497       13.71       13.71           0.010363      0.000069      0.010432  -1800.762425  -1800.751993  -1800.752062            272.91       1    12.13200
